,MSE,R2,MAE,MAE_95,MAE_99
SatCLIP_LR_europe_west,4.566402535552965e-05,0.9257065570386667,0.004401706741192093,0.012482828009882332,0.021717360161002033
SatCLIP_LR_blacksea,0.047018873883746426,-80.91786452229275,0.1772234446184203,0.41738203804621604,0.48013879581471025
SatCLIP_LR_northamerica-west,0.049109891109303236,-11.481675733615116,0.1829080825824925,0.40396186509187443,0.44338817274388564
SatCLIP_LR_west-africa,0.07906533827940901,-13.648046496737724,0.22861669459042158,0.5174535673027816,0.6185354154230486
SatCLIP_MLP_europe_west,0.00020275980681946218,0.6701183475282793,0.011140858625861423,0.028066432890514355,0.03731984224911651
SatCLIP_MLP_blacksea,0.6166913655623653,-1073.4204521169681,0.6568791371626654,1.4218029316845566,1.7555935287640558
SatCLIP_MLP_northamerica-west,0.6173700618253566,-155.90959082347163,0.5586656670270689,1.7762995237843386,2.289626350093849
SatCLIP_MLP_west-africa,2.1565327027850545,-398.5302112096025,1.252160182631897,2.565539643029936,3.485990263182513
Sinusoidal_LR_europe_west,0.00040420275763608515,0.34237921237945557,0.015047379769384861,0.04119303822517395,0.061449602246284485
Sinusoidal_LR_blacksea,0.05222107470035553,-89.98130798339844,0.21468542516231537,0.32021114230155945,0.33067741990089417
Sinusoidal_LR_northamerica-west,0.03922296315431595,-8.968832015991211,0.1743425726890564,0.3474264442920685,0.3710506558418274
Sinusoidal_LR_west-africa,0.008895130828022957,-0.6479573249816895,0.07636015862226486,0.1961548924446106,0.2513684928417206
Sinusoidal_MLP_europe_west,4.9859365390148014e-05,0.9188809394836426,0.004675818607211113,0.012932663783431053,0.022901495918631554
Sinusoidal_MLP_blacksea,0.009890603832900524,-16.231740951538086,0.07592073827981949,0.21033406257629395,0.24212077260017395
Sinusoidal_MLP_northamerica-west,0.014098440296947956,-2.5832324028015137,0.10102523118257523,0.21433675289154053,0.2598315477371216
Sinusoidal_MLP_west-africa,0.06355904787778854,-10.775274276733398,0.19776533544063568,0.45341363549232483,0.5118533372879028
AlphaEarth_LR_europe_west,0.0002884918940253556,0.5306358337402344,0.01284528523683548,0.03425173461437225,0.049222663044929504
AlphaEarth_LR_blacksea,0.0007319992291741073,-0.27531373500823975,0.02150741219520569,0.05015195161104202,0.07553353160619736
AlphaEarth_LR_northamerica-west,0.0016556924674659967,0.5791923999786377,0.0280136838555336,0.08243200182914734,0.15050983428955078
AlphaEarth_LR_west-africa,0.00946098379790783,-0.752790093421936,0.08033542335033417,0.17295250296592712,0.21465568244457245
AlphaEarth_MLP_europe_west,0.00020246297935955226,0.6706012487411499,0.010550578124821186,0.029550746083259583,0.04189910739660263
AlphaEarth_MLP_blacksea,0.00046697931247763336,0.18641293048858643,0.01629744842648506,0.04011445492506027,0.06619256734848022
AlphaEarth_MLP_northamerica-west,0.0014928719028830528,0.6205745935440063,0.02826007641851902,0.07529579102993011,0.13424670696258545
AlphaEarth_MLP_west-africa,0.005506005138158798,-0.020070552825927734,0.06053463742136955,0.1307888627052307,0.2018672227859497
