,lat_min,lat_max,lon_min,lon_max,start_date,end_date,lat_step,lon_step
africa-south,-40.0,-20.0,18.0,38.0,0,17519,-0.1,0.1
amazon-basin,-20.0,-0.0,300.0,320.0,0,17519,-0.1,0.1
arabian-peninsula,15.0,35.0,40.0,60.0,0,17519,-0.1,0.1
australasia-east,-40.0,-20.0,137.0,157.0,0,17519,-0.1,0.1
blacksea,35.0,55.0,22.0,42.0,0,17519,-0.1,0.1
cape-horn,-56.0,-36.0,280.0,300.0,0,17519,-0.1,0.1
caribbean,5.0,25.0,280.0,300.0,0,17519,-0.1,0.1
east-asia-north-east,30.0,50.0,130.0,150.0,0,17519,-0.1,0.1
east-asia-south,20.0,40.0,100.0,120.0,0,17519,-0.1,0.1
europe_west,40.0,60.0,-5.0,15.0,0,17519,-0.1,0.1
horn-of-africa,-5.0,15.0,32.0,52.0,0,17519,-0.1,0.1
melanesia,-15.0,5.0,130.0,150.0,0,17519,-0.1,0.1
northamerica-east,30.0,50.0,270.0,290.0,0,17519,-0.1,0.1
northamerica-west,40.0,60.0,230.0,250.0,0,17519,-0.1,0.1
southamerica-east,-40.0,-20.0,300.0,320.0,0,17519,-0.1,0.1
southeastasia-west,-2.0,18.0,90.0,110.0,0,17519,-0.1,0.1
tibetan-plateau,30.0,50.0,75.0,95.0,0,17519,-0.1,0.1
west-africa,4.0,24.0,-10.0,10.0,0,17519,-0.1,0.1
